classes	fitness	bias_r	bias_z	bias_h	weight_xr	weight_xz	weight_xh	weight_hr	weight_hz	weight_hh	bias_rw	conn0	conn1	conn2
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.14685	1.52085	-1.59662	-2.05712	2.4208	4.51276	3.97568	-5.02319
PP	1.0	1.37953	1.28459	-1.31854	0.73152	1.1426	1.14685	1.28932	-1.53654	-2.05712	2.4208	4.51276	4.00385	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.14685	1.52085	-1.59662	-2.05712	2.4208	4.51276	3.97568	-5.0417
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.14685	1.36051	-1.59662	-2.05712	2.4208	4.51276	4.15302	-5.02319
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.04235	1.52085	-1.59662	-2.05712	2.4208	4.51276	3.97568	-4.5638
PP	1.0	1.37953	1.28459	-1.31854	0.87718	1.1426	1.14685	1.28932	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.60717	1.08181	1.14685	1.24694	-1.86139	-2.05712	2.4208	4.51276	4.15302	-5.02319
PP	1.0	1.13811	1.28459	-1.31854	0.56894	1.08181	1.14685	1.52085	-1.59662	-2.05712	2.4208	4.51276	3.97568	-5.02319
PP	1.0	1.37953	1.28459	-1.31854	0.79588	1.08181	1.14685	1.13551	-1.65224	-1.76715	2.4208	4.50624	3.97568	-5.0417
PP	1.0	1.37953	1.28459	-1.31854	0.72689	1.1426	1.17479	1.28932	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.59697	1.08181	1.14685	1.29816	-1.27512	-1.76715	2.4208	4.51276	3.97568	-5.0417
PP	1.0	1.37953	1.28459	-1.31854	0.87718	1.22096	1.14685	1.28932	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.73152	1.01661	1.14685	1.28932	-1.39576	-2.05712	2.4208	4.51276	4.00385	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.14685	1.29816	-1.65224	-1.76715	2.4208	4.51276	3.97568	-5.0417
PP	1.0	1.37953	1.28459	-1.31854	1.2577	1.1426	1.14685	1.28932	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.73152	1.1426	1.14685	1.30254	-1.53654	-2.05712	2.4208	4.51276	4.00385	-4.97156
PP	1.0	1.37953	1.17591	-1.31854	0.87718	1.1426	1.14685	1.48671	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PN	1.0	3.0	-0.16196	-1.67358	-0.23741	0.25968	-1.15514	-4.2699	-3.4743	-2.19998	-2.48073	3.37817	-6.0	-3.69884
PN	1.0	3.0	-0.11304	-1.67358	-0.34885	0.34975	-1.19939	-1.11087	-3.13563	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	3.0	-0.11304	-1.67358	-0.2992	0.28483	-1.19939	-1.11087	-3.13563	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	3.0	-0.11304	-1.67358	-0.34885	0.28483	-1.19939	-1.11087	-3.13563	-2.15803	-2.55719	3.37817	-6.0	-3.69884
